,0
0,すべての旅行商品
1,海外宿・ホテル海外宿・ホテル
2,航空券航空券
3,レンタカーレンタカー
4,航空券 + 宿泊航空券 + 宿泊
5,現地ツアー現地ツアー
6,国内宿・ホテル国内宿・ホテル
7,最新セール
8, 直前予約
9,グループ旅行 / 会議
10,アプリをダウンロード
11,日本語
12,宿泊施設を登録する
13,カスタマーサービス
14,旅程
15,ログイン
16,エクスペディア会員プログラム
17,保存
18,国際通りまで徒歩圏内の 3.5 つ星ホテル - 那覇市 (那覇市中心部周辺) 
19,"900-0029, 沖縄県, 那覇市, 旭町 116-37"
20,那覇市の那覇東急REIホテルは、那覇市中心部地区のビーチの近くにあり、市内中心部に位置しています。ショッピングをするなら、国際通りやアメリカンビレッジがおすすめ。美しい自然を堪能するなら、瀬長島やサンセット ビーチへ行ってみましょう。おきなわワールドはぜひ訪れたいスポットです。 このホテルは、交通の便の良さで旅行者に好評です。旭橋駅へは徒歩 5 分、壺川駅へも 6 分です。
21,国際通り - 徒歩 5 分
22,那覇クルーズターミナル - 徒歩 11 分
23,波の上ビーチ - 車で 3 分
24,泊港 - 車で 3 分
25,首里城 - 車で 10 分
26,旭橋駅から徒歩 5 分
27,那覇空港 (OKA)から車で 9 分
28,ゆうなんぎい - 徒歩 11 分
29,燕郷房 - 徒歩 8 分
30,まつもと - 徒歩 14 分
31,こどら - 徒歩 7 分
32,わたんじ 通堂町 - 徒歩 4 分
33,国際通りの近くにあるホテル
34,国際通りの近くにあるホテル
35,那覇東急REIホテルは、泊港、首里城の近くにあり、庭園、ランドリー設備、24 時間対応ビジネスセンターを利用できます。宿泊者は、室内 WiFi (無料)、レストランなどの設備・サービスを利用できます。
36,那覇東急REIホテルは、泊港、首里城の近くにあり、庭園、ランドリー設備、24 時間対応ビジネスセンターを利用できます。宿泊者は、室内 WiFi (無料)、レストランなどの設備・サービスを利用できます。
37,また、次のような特典が利用可能です。
38,また、次のような特典が利用可能です。
39,朝食ビュッフェ (有料)、レンタル自転車、セルフパーキング (有料)電気自動車充電スタンド、ウォーターサーバー、全館禁煙コンピューター ステーション、24 時間対応フロントデスク、荷物保管サービス親切なスタッフ、公共交通機関の利便性の高さが口コミで高く評価されています。 
40,客室の特長
41,客室の特長
42,全 215 室の客室で、高級寝具や冷房に加え、WiFi (無料)やボトルウォーター (無料)などの快適に滞在を楽しめる設備・サービスが用意されています。 この施設は、客室の清潔さが口コミで評判です。 
43,全 215 室の客室で、高級寝具や冷房に加え、WiFi (無料)やボトルウォーター (無料)などの快適に滞在を楽しめる設備・サービスが用意されています。 この施設は、客室の清潔さが口コミで評判です。 
44,そのほか、設備・サービスには次のものがあります。 
45,そのほか、設備・サービスには次のものがあります。 
46,リサイクル、LED 電球、環境にやさしい洗剤バスルーム (環境にやさしいバスアメニティ、洗浄機付トイレあり)26 インチ 薄型テレビ (衛星放送あり)冷蔵庫、電気ポット、毎日の客室清掃
47,日本語
48,消毒・除菌剤を使用して施設を清掃しています
49,人がよく触れる場所を清掃・消毒しています
50,非対面式のチェックイン、チェックアウト
51,お客様と従業員が対面する主要なエリアで保護シールドを設置しています
52,ソーシャルディスタンス (身体的距離)を実施しています
53,従業員が感染予防用品を着用
54,従業員の体温チェックを実施しています
55,お客様の体温チェックを実施しています
56,施設ではマスクを着用してください
57,手指消毒剤が用意されています
58,飲食サービスの改善と安全対策を行っています
59,宿泊施設から提供された情報です。
60,エレベーター
61,自動販売機
62,ウォーターサーバー
63,全室 : WiFi (無料)、有線インターネット (無料)
64,共用エリア : WiFi (無料)
65,敷地内にセルフパーキング (1 泊につき 1500 円)
66,敷地内に駐車場 (台数制限あり)
67,敷地内に電気自動車充電スタンド
68,敷地内の駐車場には車高制限があります
69,朝食 (ビュッフェ) を提供 (毎日 7:00 ～ 10:00、有料 : 大人 1600 円、子供 800 円)
70,1 か所のレストラン
71,自転車レンタル
72,ランドリー設備
73,冷蔵庫
74,24 時間対応フロントデスク
75,シーツ交換 (要リクエスト)
76,タオル交換 (要リクエスト)
77,客室清掃(毎日)
78,ランドリー設備
79,荷物保管サービス
80,24 時間対応ビジネスセンター
81,コンピューター ステーション
82,庭園
83,菜園
84,100% 再生可能エネルギー
85,80% 以上 LED 照明
86,80% 以上地元産の食材
87,80% 以上オーガニックフード
88,生分解性マドラー
89,生分解性ストロー
90,食品ロスに関するルール
91,二重窓
92,地元アーティストの表現の場
93,地元のガイドや団体によるツアー / アクティビティ
94,プラスチックマドラー不使用
95,プラスチックストロー不使用
96,ペットボトル炭酸飲料の提供なし
97,ペットボトル飲料水の提供なし
98,再利用可能なコップのみ使用
99,再利用可能な食器のみ使用
100,全館禁煙
101,テレビ (ロビー)
102,ビーガン料理のオプション
103,ベジタリアン料理のオプション
104,冷房
105,ベッドシーツ
106,高級寝具
107,ビデ
108,環境にやさしいバスアメニティ
109,ヘアドライヤー
110,専用バスルーム
111,シャンプー
112,トイレットペーパー
113,タオル
114,26 インチ薄型テレビ
115, 有料ムービー
116, 衛星放送
117,電気ケトル
118,ボトルウォーター (無料)
119,冷蔵庫
120,環境にやさしい洗剤を用意
121,省電力スイッチ
122,アイロン / アイロン台 (要リクエスト)
123,LED 電球
124,電話
125,リサイクル
126,スリッパ
127,節水シャワーのみ
